# Cerca lineal. Temps en microsegons
# Talla    Promedi   P. Repeticions 
#--------------------------------------
   10000    159970,33    61230,94
   20000    300043,31    296821,60
   30000    652846,07    752441,50
   40000    1608253,13    1524360,15
   50000    2781383,92    2708103,71
   60000    4468392,54    4359214,35
   70000    6552068,52    6681795,44
   80000    9376384,85    9797123,85
   90000    14361828,16    13823692,37
   100000    19740303,91    18979251,34
