# Cerca lineal. Temps en microsegons
# Talla    Pitjor   Millor   Promedi
#--------------------------------------
  100000   105.02     0.55     51.94
  200000   123.54     0.11     63.80
  300000   178.78     0.11     89.35
  400000   243.98     0.11    133.42
  500000   304.68     0.12    162.06
  600000   381.81     0.11    183.40
  700000   423.01     0.10    209.69
  800000   499.56     0.12    249.39
  900000   532.20     0.12    285.25
 1000000   608.64     0.11    307.03
